20160319-040904.306358,9616
20160319-040904.307731,11382
20160319-040904.310364,10250
20160319-040904.311735,7996
20160319-040904.314359,4556
20160319-040904.315734,3025
20160319-040904.318370,6047
20160319-040904.320992,9771
20160319-040904.322366,8928
20160319-040904.323741,7087
20160319-040904.326367,10180
20160319-040904.328993,11259
20160319-040904.330367,10054
20160319-040904.332989,7481
20160319-040904.334367,4118
20160319-040904.336984,3192
20160319-040904.338368,6767
20160319-040904.340994,9924
20160319-040904.342372,8534
20160319-040904.344989,7252
20160319-040904.346364,10680
20160319-040904.348990,11097
20160319-040904.350367,9792
20160319-040904.352987,6973
20160319-040904.355620,3722
20160319-040904.356988,3489
20160319-040904.358371,7417
20160319-040904.360996,10033
20160319-040904.362369,8113
20160319-040904.364994,7590
20160319-040904.366371,11024
20160319-040904.369005,10974
20160319-040904.371619,9495
20160319-040904.372988,6417
20160319-040904.375616,3431
20160319-040904.376988,3889
20160319-040904.379630,8125
20160319-040904.381009,9959
20160319-040904.383631,7737
20160319-040904.384998,8081
20160319-040904.387623,11300
20160319-040904.388995,10791
20160319-040904.391619,9151
20160319-040904.392999,5897
20160319-040904.395620,3210
20160319-040904.398595,4383
20160319-040904.400224,8734
20160319-040904.401003,9786
20160319-040904.403631,7396
20160319-040904.404996,8678
20160319-040904.407629,11423
20160319-040904.409003,10603
20160319-040904.411627,8763
20160319-040904.414274,5356
20160319-040904.415628,3072
20160319-040904.418252,4994
20160319-040904.419629,9213
20160319-040904.422264,9545
20160319-040904.423636,7164
20160319-040904.426256,9295
20160319-040904.427630,11412
20160319-040904.430272,10439
20160319-040904.431633,8316
20160319-040904.434257,4842
20160319-040904.435634,3048
20160319-040904.438271,5659
20160319-040904.440875,9598
20160319-040904.442259,9207
20160319-040904.443634,7079
20160319-040904.446273,9886
20160319-040904.447633,11368
20160319-040904.450261,10203
20160319-040904.452880,7825
20160319-040904.454270,4412
20160319-040904.456875,3119
20160319-040904.458258,6332
20160319-040904.460875,9848
20160319-040904.462369,8834
20160319-040904.464886,7161
20160319-040904.466259,10400
20160319-040904.468882,11241
20160319-040904.470272,9983
20160319-040904.472879,7331
20160319-040904.474255,3968
20160319-040904.476878,3334
20160319-040904.478273,7040
20160319-040904.480880,10001
20160319-040904.483608,8410
20160319-040904.484884,7396
20160319-040904.486274,10824
20160319-040904.488885,11109
20160319-040904.490265,9698
20160319-040904.492888,6764
20160319-040904.495525,3616
20160319-040904.496886,3677
20160319-040904.499526,7711
20160319-040904.500884,10030
20160319-040904.503519,7981
20160319-040904.504884,7811
20160319-040904.507521,11159
20160319-040904.508891,10938
