objname,dist_parsec,vgsr(km/s)
NGC1253,21.379620895,1688
IC0304,75.5092227665,5049
PGC012130,32.9609712177,2286
UGC02617,42.2668614266,4801
NGC1259,69.1830970919,5934
NGC1260,68.2338694142,5855
UGC02637,47.424198526,5218
UGC02650,133.045441798,8462
UGC02655,51.0504999975,6297
NGC1297,28.313919958,1507
IC1914,23.8781128291,886
IC1913,21.8776162395,1343
NGC1275,77.9830110523,5365
NGC1299,25.003453617,2280
ESO481-021,21.7770977235,1659
PGC012608,27.6694164541,1941
NGC1309,34.35579479,2073
NGC1316,20.4173794467,1670
UGC02708,77.2680585096,5429
NGC1325,22.0800473302,1507
PGC012798,26.7916832482,1807
UGC02730,74.8169500511,3863
NGC1332,22.6986485188,1444
NGC1331,22.9086765277,1127
ESO358-006,20.4173794467,1152
ESO548-021,22.5943577022,1600
NGC1340,20.6062991327,1075
ESO418-008,21.5774440915,1086
PGC013097,20.3235701094,1541
NGC1353,26.6685866452,1446
ESO548-032,25.9417936212,1877
ESO482-005,31.477483141,1822
IC1952,22.80342072,1722
PGC013177,20.0447202737,1257
NGC1359,38.9045144994,1890
NGC1366,20.8929613085,1194
NGC1367,23.8781128291,1366
IC0335,20.5116217883,1516
IC1962,22.9086765277,1718
NGC1380,20.1372424986,1753
NGC1381,21.6770410482,1605
IC1970,20.5116217883,1103
NGC1380B,20.1372424986,1628
NGC1389,20.9893988362,798
ESO358-042,20.4173794467,1041
UGC02798,63.6795520908,5033
ESO358-043,20.796966871,1260
UGC02801,80.9095899178,6106
NGC1399,20.5116217883,1302
NGC1395,23.8781128291,1607
NGC1404,20.0447202737,1822
NGC1398,24.7742205763,1297
NGC1400,26.0615355,506
UGC02800,20.4173794467,1330
NGC1407,28.5759054337,1708
NGC1419,22.5943577022,2004
ESO482-035,25.8226019063,1786
UGC02829,88.7156012038,6146
NGC1425,21.5774440915,1398
NGC1428,20.4173794467,1513
NGC1421,20.0447202737,2016
ESO548-082,40.5508535448,1641
NGC1426,23.3345806228,1350
PGC013646,35.1560440528,2093
ESO156-008,246.603933723,17532
ESO358-056,21.379620895,977
PGC013684,27.7971326776,1135
UGC02827,22.5943577022,1678
PGC013716,29.2415237784,1508
NGC1439,26.4240875732,1573
ESO549-018,26.6685866452,1485
UGC02868,85.1138038202,5495
ESO482-046,22.6986485188,1416
ESO549-035,38.9045144994,1722
UGC02896,39.0840895792,2387
UGC02915,78.7045789695,5360
UGC02920,67.9203632617,4219
UGC02906,66.0693448008,2646
PGC014370,74.1310241301,4660
ESO359-016,25.351286305,1271
ESO550-005,21.9785987278,1788
UGC02956,57.0164272281,4593
IC0356,21.5774440915,1040
PGC014600,31.6227766017,2862
PGC014626,39.0840895792,1781
UGC02982,46.7735141287,5275
UGC02988,55.2077439281,3840
NGC1537,23.0144181741,1272
PGC014768,27.4157417193,1853
PGC014780,111.686324778,8822
UGC03009,42.6579518802,3777
NGC1558,60.5340874754,4371
UGC03028,53.4564359397,5527
UGC03048,39.4457302075,3189
UGC03066,65.1628394061,4594
UGC03070,28.7078058202,2449
ESO202-035,26.6685866452,1700
UGC03078,64.5654229035,5462
UGC03084,46.3446919736,4032
UGC03089,58.0764417521,4593
NGC1620,40.926065973,3443
UGC03092,71.7794291271,4932
UGC03108,50.8159442561,4029
ESO157-049,23.6591969749,1494
UGC03122,67.6082975392,4642
UGC03114,55.7185748932,3855
UGC03110,55.7185748932,4632
PGC015869,42.8548520397,2429
IC0381,25.9417936212,2626
UGC03148,69.5024317589,4720
UGC03151,60.5340874754,4580
UGC03161,196.788628971,8711
UGC03143,68.8652296344,4694
UGC03147,38.194427084,3024
UGC03172,68.2338694142,4686
UGC03167,69.8232404077,4857
PGC016118,55.2077439281,4368
IC2098,42.0726628384,2731
ESO119-016,31.6227766017,785
UGC03186,66.3743070402,4513
ESO422-005,36.6437574648,1313
PGC016322,49.888448746,3755
UGC03207,69.1830970919,4494
UGC03205,58.8843655356,3607
NGC1699,51.0504999975,3844
UGC03214,70.145529842,4829
NGC1723,31.6227766017,3629
ESO486-003,36.4753946926,1624
UGC03218,74.1310241301,5340
ESO552-052,64.5654229035,4453
NGC1752,45.0816704541,3472
UGC03237,53.2108259267,4116
NGC1762,102.329299228,4674
NGC1784,27.7971326776,2199
PGC016772,30.7609681474,2244
NGC1797,75.1622894018,4356
PGC016850,23.1206479018,1843
UGC03250,94.1889596523,4644
PGC016875,30.4789498963,2556
ESO553-017,38.0189396321,1828
PGC016894,27.4157417193,1851
NGC1819,60.2559586074,4398
NGC1832,25.1188643151,1807
NGC1853,28.313919958,1218
ESO305-017,25.1188643151,891
ESO423-002,20.3235701094,1305
UGC03275,136.144468247,7895
IC0407,43.8530697775,2690
UGC03283,69.8232404077,4412
UGC03253,62.8058358813,4285
UGC03276,32.0626932451,2648
UGC03296,66.9884609417,4189
NGC1886,29.2415237784,1600
NGC1888,39.4457302075,2290
PGC017217,40.5508535448,2359
IC0416,50.1187233627,3048
NGC1924,30.4789498963,2430
PGC017395,29.2415237784,2589
NGC1964,21.9785987278,1504
UGC03319,69.8232404077,4344
PGC017475,101.859138805,6910
UGC03329,66.0693448008,5206
ESO554-018,46.9894108605,2711
UGC03332,73.1139083483,5767
UGC03326,83.1763771103,4252
NGC1961,79.0678628,4060
ESO554-028,32.359365693,1908
NGC2049,67.6082975392,2813
UGC03351,48.7528490103,4500
PGC017787,226.986485188,14796
IC2143,37.6703798984,2892
UGC03354,44.8745389933,3171
ESO555-002,39.8107170553,2210
IC2150,42.4619563946,2925
UGC03365,88.3079900419,5267
IC0438,38.0189396321,2966
UGC03375,49.659232145,5851
PGC018109,71.4496326076,5854
NGC2124,45.2897579904,2797
IC2152,26.9153480393,1701
UGC03379,53.9510622515,4233
ESO488-049,32.5087297385,1622
UGC03373,60.5340874754,4905
ESO425-002,29.3764965196,1208
ESO555-029,49.4310686987,2725
PGC018373,37.3250157796,2066
ESO488-060,25.4683025259,1623
ESO005-004,25.5858588691,1687
ESO489-006,24.3220400907,2049
PGC018467,64.2687717317,4386
ESO425-011,58.0764417521,3024
UGC03406,68.8652296344,5316
PGC018581,26.4240875732,1904
UGC03422,64.5654229035,4184
UGC03420,77.2680585096,5244
UGC03432,70.145529842,5077
UGC03413,44.4631267469,4364
ESO489-029,26.1818300822,1518
UGC03423,62.8058358813,4417
NGC2146,26.6685866452,1041
PGC018813,74.4731973906,5416
PGC018848,25.5858588691,2675
ESO556-015,26.7916832482,1811
ESO121-026,35.6451133426,2057
NGC2217,23.0144181741,1431
NGC2146A,21.8776162395,1638
UGC03459,46.7735141287,2781
PGC018989,30.4789498963,4372
ESO426-008,105.196187382,6866
IC2166,30.3389118419,2776
ESO490-005,119.124200803,6929
ESO490-007,30.0607630263,2656
ESO490-010,21.2813904598,1633
UGC03474,46.131757456,3751
UGC03489,81.6582371359,5398
ESO490-014,32.8095293113,2521
UGC03484,103.752841582,7500
ESO557-005,198.609491736,10948
UGC03498,46.9894108605,3713
PGC019325,87.4983775227,5835
NGC2263,27.0395836411,2552
NGC2273A,20.5116217883,2186
ESO490-028,24.4343055269,1950
ESO122-001,28.4446110745,2401
NGC2271,31.477483141,2408
UGC03524,46.7735141287,3834
ESO490-036,32.6587832172,1741
NGC2280,24.5470891569,1718
ESO427-006,44.6683592151,2591
NGC2273B,20.796966871,2194
ESO490-045,23.9883291902,1514
NGC2258,64.2687717317,4190
UGC03500,46.131757456,4545
UGC03539,48.305880204,3409
NGC2273,30.4789498963,1925
UGC03561,85.5066712885,5714
UGC03576,101.859138805,6009
UGC03584,58.0764417521,4397
UGC03587,23.9883291902,1197
UGC03575,59.7035286584,4008
UGC03540,30.7609681474,2096
ESO491-009,34.1979442514,1857
UGC03580,25.1188643151,1320
UGC03605,142.56075936,7881
UGC03595,115.877735616,7973
UGC03611,77.9830110523,4925
ESO491-012,42.4619563946,2383
PGC019975,36.8128973643,3372
ESO491-015,36.307805477,2477
UGC03627,74.8169500511,6330
UGC03630,25.351286305,1632
UGC03634,107.151930524,7800
UGC03637,34.35579479,3426
NGC2325,25.351286305,1954
NGC2320,80.9095899178,5948
ESO427-034,28.7078058202,2179
UGC03691,29.3764965196,2113
NGC2339,30.6196343369,2178
PGC020274,30.7609681474,1554
ESO491-020,48.9778819368,2672
UGC03675,61.9441075077,3919
UGC03731,67.6082975392,4864
UGC03725,86.2978547767,6212
UGC03717,52.7229861423,4314
UGC03751,26.302679919,2235
NGC2268,31.3328572432,2382
UGC03757,109.647819614,5572
UGC03763,127.643880881,7143
ESO428-009,36.6437574648,2029
UGC03770,98.6279485631,6316
UGC03749,27.4157417193,1261
NGC2347,88.3079900419,4519
NGC2369,33.2659553294,3020
UGC03776,43.8530697775,3860
UGC03777,36.8128973643,3175
ESO428-015,22.3872113857,1868
ESO428-018,34.5143739336,1870
ESO428-017,34.5143739336,2180
NGC2357,30.6196343369,2213
UGC03787,152.054752973,8469
UGC03783,104.712854805,6126
UGC03784,65.1628394061,2541
ESO367-017,28.4446110745,2569
UGC03789,49.659232145,3385
UGC03808,49.659232145,2332
PGC020830,90.3649473722,5032
UGC03820,40.3645392968,2444
NGC2365,39.4457302075,2210
UGC03804,42.0726628384,2992
ESO123-009,35.9749335156,2994
ESO428-028,30.7609681474,2046
NGC2380,25.4683025259,1575
UGC03845,51.2861383991,3061
PGC021028,58.0764417521,2321
NGC2336,31.7687407065,2347
NGC2389,61.0942024906,3920
UGC03876,26.6685866452,815
UGC03879,58.8843655356,4770
NGC2393,63.095734448,4861
NGC2417,32.9609712177,2982
IC0467,23.8781128291,2178
ESO123-016,32.8095293113,3029
ESO429-001,35.1560440528,1903
NGC2434,21.379620895,1237
IC2199,59.4292158616,4640
ESO257-019,35.8096437103,2646
NGC2442,21.1836113525,1245
UGC03922,138.03842646,8846
UGC03919,59.1561634175,4958
UGC03909,23.4422881532,1069
UGC03937,43.651583224,3975
UGC03921,58.8843655356,2601
ESO560-004,37.4973002245,1979
UGC03955,52.9663443892,4986
PGC021549,159.955802861,8330
ESO163-014,38.0189396321,2638
UGC03979,64.2687717317,4163
ESO123-023,40.7380277804,2688
PGC021697,82.4138115013,5245
ESO560-012,45.498806015,3110
ESO560-013,51.5228644582,3041
UGC04024,31.6227766017,1799
NGC2441,53.4564359397,3586
UGC04060,68.8652296344,4570
ESO035-018,26.4240875732,1562
IC0480,49.659232145,4570
NGC2460,38.7257644922,1518
ESO494-007,25.7039578277,1350
ESO561-003,42.4619563946,3318
PGC022401,110.153930954,7343
UGC04133,119.124200803,8968
UGC04169,32.2106879128,1681
NGC2512,59.7035286584,4634
UGC04078,26.9153480393,2018
UGC04195,73.7904230129,4981
ESO494-021,36.6437574648,1376
ESO430-026,33.1131121483,1436
NGC2523,36.982817978,3604
UGC04296,123.026877081,8868
UGC04306,23.550492839,2390
PGC023262,27.0395836411,2028
IC2267,41.8793565118,2011
IC2311,23.1206479018,1631
PGC023338,77.9830110523,4950
NGC2565,57.0164272281,3503
UGC04322,108.14339513,7447
UGC04381,53.703179637,4462
UGC04375,40.1790810849,1985
PGC023574,60.8135001279,4526
IC2367,24.0990542869,2247
UGC04386,69.1830970919,4550
NGC2550,26.302679919,2392
NGC2590,63.9734835483,4840
UGC04413,32.6587832172,2414
UGC04446,85.9013521505,5930
ESO431-013,38.0189396321,2612
UGC04455,133.659551655,9108
NGC2613,26.7916832482,1466
ESO562-018,92.4698173938,4524
ESO431-016,31.6227766017,2581
NGC2608,40.5508535448,2099
PGC024189,77.2680585096,5715
ESO563-002,23.550492839,1445
PGC024286,127.057410521,8118
UGC04524,33.4195040026,1802
ESO432-002,35.6451133426,2631
ESO563-014,25.5858588691,1505
UGC04550,38.0189396321,1955
UGC04559,44.0554863507,2026
ESO563-017,61.9441075077,3252
IC0499,52.9663443892,2110
ESO563-021,87.4983775227,4376
IC2389,22.5943577022,2502
NGC2633,24.8885731828,2291
NGC2634,33.1131121483,2381
PGC024778,38.194427084,2726
ESO563-026,40.1790810849,3199
UGC04625,134.276496114,8328
ESO563-028,39.9944749761,2417
ESO371-020,26.9153480393,2141
PGC024870,38.5478357666,1800
UGC04640,51.2861383991,3146
UGC04623,44.0554863507,3016
PGC024988,142.56075936,9068
NGC2695,32.0626932451,1669
IC0522,68.5488226453,5126
NGC2699,26.6685866452,1658
NGC2708,44.4631267469,1832
NGC2706,50.8159442561,1468
UGC04601,30.7609681474,1915
ESO060-019,21.1836113525,1227
NGC2722,34.0408189701,2593
NGC2701,33.4195040026,2375
UGC04701,40.7380277804,1544
ESO090-015,28.8403150313,1455
NGC2731,21.5774440915,2453
ESO564-012,80.5378441199,3346
UGC04754,75.5092227665,5459
NGC2758,33.2659553294,1757
NGC2726,56.7544605409,1617
PGC025563,68.5488226453,3585
NGC2763,24.5470891569,1694
NGC2772,76.9130440287,3214
NGC2715,23.8781128291,1465
ESO564-023,110.662378398,7531
ESO314-005,66.6806769214,4583
NGC2756,50.3500608788,4025
UGC04800,43.8530697775,2491
ESO497-018,95.9400631516,4903
PGC025886,31.0455958813,1657
UGC11780,203.235701094,15422
NGC2768,22.181964198,1469
ESO564-027,35.6451133426,1972
ESO497-022,29.9226463661,2205
UGC04845,36.6437574648,1994
ESO091-003,20.0447202737,1682
ESO564-032,35.1560440528,2554
ESO564-031,61.6595001861,4951
ESO126-003,50.8159442561,2699
UGC04867,51.5228644582,2490
UGC04841,34.1979442514,1250
ESO433-010,35.8096437103,1903
ESO564-033,92.0449571753,4965
NGC2811,32.8095293113,2163
NGC2815,41.4954042634,2332
NGC2821,45.7088189615,2220
IC0529,29.2415237784,2380
ESO061-008,44.0554863507,3156
PGC026411,63.3869711257,3258
ESO372-016,35.4813389234,2201
NGC2844,46.131757456,1471
ESO126-010,37.3250157796,1925
IC2469,24.8885731828,1442
NGC2865,37.4973002245,2512
ESO498-003,32.0626932451,2153
PGC1188501,203.235701094,14970
UGC01998,67.2976656284,6352
NGC2894,59.4292158616,2016
NGC2880,21.6770410482,1562
NGC2904,23.3345806228,2119
ESO434-010,36.307805477,2285
UGC05050,23.6591969749,2313
ESO434-011,23.3345806228,2340
PGC027054,66.0693448008,4168
NGC2906,42.6579518802,2160
PGC027130,30.199517204,1913
PGC027158,36.8128973643,2482
NGC2921,49.659232145,2759
NGC2919,38.0189396321,2413
NGC2935,36.6437574648,2069
NGC2930,106.16955572,7304
ESO565-029,28.0543363795,2200
ESO373-012,31.6227766017,2421
NGC2938,41.4954042634,2415
PGC027509,91.6220490122,6457
ESO373-019,37.3250157796,2586
NGC2962,34.8337315036,1822
ESO434-023,44.6683592151,2313
PGC027747,33.8844156139,1682
NGC2974,21.2813904598,1728
PGC027810,50.5824662003,2522
ESO373-021,49.888448746,2426
NGC2986,34.0408189701,2123
NGC3001,55.7185748932,2248
UGC05228,25.8226019063,1620
UGC05234,99.0831944893,5917
UGC05203,30.199517204,1682
ESO499-005,49.659232145,4089
UGC05245,25.8226019063,1258
IC2510,31.0455958813,2583
ESO566-014,55.2077439281,4477
IC2511,37.8442584717,2680
IC2513,34.6736850453,2650
PGC028308,43.0526610492,2514
ESO499-009,35.8096437103,1874
NGC2985,32.8095293113,1441
NGC6962,53.703179637,4358
NGC3038,39.26449354,2566
PGC028380,41.8793565118,2341
ESO374-003,30.6196343369,2710
NGC3045,31.1888958409,2056
NGC3044,21.4783047413,1143
NGC3054,33.2659553294,2218
IC2522,29.9226463661,2796
ESO499-022,38.3707245492,2004
ESO435-014,37.8442584717,2450
ESO435-015,30.0607630263,2200
UGC05349,27.1643926884,1362
ESO499-025,25.9417936212,2200
NGC3078,34.8337315036,2352
ESO435-019,25.351286305,2595
NGC3087,34.6736850453,2416
IC0582,82.7942163712,7539
NGC3089,28.8403150313,2493
IC2531,35.6451133426,2258
